,Coefficient,Std_Err,P_value
const,-4.37281143919646,0.12065148702747382,1.2657901722513279e-287
haq3,-0.07968298993599861,0.1139425581085507,0.48434834097664003
score_eq5d,-0.1726777957150437,0.19368975110274192,0.37265162674742436
haq4,-0.12686274555084415,0.1132216152398351,0.26250855555430286
hads13,-0.12326668574507511,0.059911136045802005,0.03963891946435912
haq18,0.08461181382945743,0.08050442820440255,0.29324912078051213
haq19,0.04741923755469074,0.08954028801536032,0.5963993548804798
eq5d7,-0.14383787192899122,0.10614268181334137,0.1753739226545833
eq5d4,0.005216786925450287,0.10049740025863804,0.9586006687856995
haq13,0.19679257260219288,0.06104141002512461,0.0012644908127792548
hads3,-0.2132906806689945,0.06844890550902097,0.0018328693573326014
haq20,-0.05963824776690747,0.09776078596445696,0.5418335632418223
Pontuacao_Ansiedade,-0.08909345870596605,0.06751311835108074,0.1869530286025286
eq5d5,0.2745003741911604,0.11857373265586786,0.020611924503239835
eq5d1,0.2516566580249956,0.10638306681452378,0.01800230925592124
hads7,0.4562445163720384,0.08486220646074683,7.603288477816813e-08
haq14,0.11722062950980798,0.0984329456088027,0.2337054707100782
hads1,-0.4051738867335614,0.0874163871098224,3.5695855224182156e-06
hads5,-0.3611246350083326,0.09652130148474229,0.00018299921686375077
hads9,0.20457493200194993,0.06582463538417926,0.001884358785736227
haq9,0.1180111493652816,0.08214728056787757,0.15083733852553433
