DepressivePathGroup,value,wave,variable
1,0.023819835426591596,T0,Rheumatic Diseases
2,0.04736842105263158,T0,Rheumatic Diseases
3,0.1044776119402985,T0,Rheumatic Diseases
1,0.010827197921177999,T0,Rheumatic Diseases
2,0.005263157894736842,T0,Rheumatic Diseases
3,0.04477611940298507,T0,Rheumatic Diseases
1,0.0021654395842356,T0,Rheumatic Diseases
2,0.005263157894736842,T0,Rheumatic Diseases
3,0.0,T0,Rheumatic Diseases
1,0.056734517106972714,T0,Rheumatic Diseases
2,0.22105263157894736,T0,Rheumatic Diseases
3,0.208955223880597,T0,Rheumatic Diseases
1,0.023819835426591596,T0,Rheumatic Diseases
2,0.12631578947368421,T0,Rheumatic Diseases
3,0.1791044776119403,T0,Rheumatic Diseases
1,0.007795582503248159,T0,Rheumatic Diseases
2,0.02631578947368421,T0,Rheumatic Diseases
3,0.0,T0,Rheumatic Diseases
1,0.0008661758336942399,T0,Rheumatic Diseases
2,0.0,T0,Rheumatic Diseases
3,0.0,T0,Rheumatic Diseases
1,0.00259852750108272,T0,Rheumatic Diseases
2,0.005263157894736842,T0,Rheumatic Diseases
3,0.0,T0,Rheumatic Diseases
1,0.0073624945864010395,T0,Rheumatic Diseases
2,0.010526315789473684,T0,Rheumatic Diseases
3,0.05970149253731343,T0,Rheumatic Diseases
1,0.028169014084507043,T1,Rheumatic Diseases
2,0.4782608695652174,T1,Rheumatic Diseases
3,0.09090909090909091,T1,Rheumatic Diseases
1,0.007042253521126761,T1,Rheumatic Diseases
2,0.391304347826087,T1,Rheumatic Diseases
3,0.0,T1,Rheumatic Diseases
1,0.014084507042253521,T1,Rheumatic Diseases
2,0.4166666666666667,T1,Rheumatic Diseases
3,0.0,T1,Rheumatic Diseases
1,0.014084507042253521,T1,Rheumatic Diseases
2,0.43478260869565216,T1,Rheumatic Diseases
3,0.0,T1,Rheumatic Diseases
1,0.0,T1,Rheumatic Diseases
2,0.391304347826087,T1,Rheumatic Diseases
3,0.0,T1,Rheumatic Diseases
1,0.014084507042253521,T1,Rheumatic Diseases
2,0.43478260869565216,T1,Rheumatic Diseases
3,0.0,T1,Rheumatic Diseases
1,0.028169014084507043,T1,Rheumatic Diseases
2,0.391304347826087,T1,Rheumatic Diseases
3,0.2727272727272727,T1,Rheumatic Diseases
1,0.0,T1,Rheumatic Diseases
2,0.43478260869565216,T1,Rheumatic Diseases
3,0.0,T1,Rheumatic Diseases
1,0.897196261682243,T2,Rheumatic Diseases
2,1.1875,T2,Rheumatic Diseases
3,0.16666666666666666,T2,Rheumatic Diseases
1,0.8666666666666667,T2,Rheumatic Diseases
2,1.125,T2,Rheumatic Diseases
3,0.16666666666666666,T2,Rheumatic Diseases
1,0.8773584905660378,T2,Rheumatic Diseases
2,1.125,T2,Rheumatic Diseases
3,0.0,T2,Rheumatic Diseases
1,0.9259259259259259,T2,Rheumatic Diseases
2,1.25,T2,Rheumatic Diseases
3,0.0,T2,Rheumatic Diseases
1,0.8679245283018868,T2,Rheumatic Diseases
2,1.125,T2,Rheumatic Diseases
3,0.0,T2,Rheumatic Diseases
1,0.8490566037735849,T2,Rheumatic Diseases
2,1.125,T2,Rheumatic Diseases
3,0.0,T2,Rheumatic Diseases
1,0.8584905660377359,T2,Rheumatic Diseases
2,1.125,T2,Rheumatic Diseases
3,0.0,T2,Rheumatic Diseases
1,0.8962264150943396,T2,Rheumatic Diseases
2,1.1875,T2,Rheumatic Diseases
3,0.25,T2,Rheumatic Diseases
1,1.009009009009009,T2,Rheumatic Diseases
2,1.2222222222222223,T2,Rheumatic Diseases
3,0.16666666666666666,T2,Rheumatic Diseases
1,0.13151041666666666,T3,Rheumatic Diseases
2,0.08771929824561403,T3,Rheumatic Diseases
3,0.35294117647058826,T3,Rheumatic Diseases
1,0.0683311432325887,T3,Rheumatic Diseases
2,0.02654867256637168,T3,Rheumatic Diseases
3,0.39215686274509803,T3,Rheumatic Diseases
1,0.028795811518324606,T3,Rheumatic Diseases
2,0.008771929824561403,T3,Rheumatic Diseases
3,0.19607843137254902,T3,Rheumatic Diseases
1,0.1814621409921671,T3,Rheumatic Diseases
2,0.28448275862068967,T3,Rheumatic Diseases
3,0.7843137254901961,T3,Rheumatic Diseases
1,0.045931758530183726,T3,Rheumatic Diseases
2,0.04424778761061947,T3,Rheumatic Diseases
3,0.39215686274509803,T3,Rheumatic Diseases
1,0.005242463958060288,T3,Rheumatic Diseases
2,0.0,T3,Rheumatic Diseases
3,0.19607843137254902,T3,Rheumatic Diseases
1,0.038157894736842106,T3,Rheumatic Diseases
2,0.017543859649122806,T3,Rheumatic Diseases
3,0.36,T3,Rheumatic Diseases
1,0.04743083003952569,T3,Rheumatic Diseases
2,0.1415929203539823,T3,Rheumatic Diseases
3,0.6862745098039216,T3,Rheumatic Diseases
